time,flow
2017-06-18 00:00,0.071
2017-06-19 00:00,0.069
2017-06-20 00:00,0.066
2017-06-21 00:00,0.067
2017-06-22 00:00,0.064
2017-06-23 00:00,0.063
2017-06-24 00:00,0.059
2017-06-25 00:00,0.058
2017-06-26 00:00,0.058
2017-06-27 00:00,0.062
2017-06-28 00:00,0.056
2017-06-29 00:00,0.079
2017-06-30 00:00,0.061
2017-07-01 00:00,0.055
2017-07-02 00:00,0.053
2017-07-03 00:00,0.051
2017-07-04 00:00,0.055
2017-07-05 00:00,0.05
2017-07-06 00:00,0.049
2017-07-07 00:00,0.047
2017-07-08 00:00,0.046
2017-07-09 00:00,0.051
2017-07-10 00:00,0.051
2017-07-11 00:00,0.052
2017-07-12 00:00,0.046
2017-07-13 00:00,0.044
2017-07-14 00:00,0.044
2017-07-15 00:00,0.05
2017-07-16 00:00,0.044
2017-07-17 00:00,0.043
2017-07-18 00:00,0.043
2017-07-19 00:00,0.045
2017-07-20 00:00,0.045
2017-07-21 00:00,0.044
2017-07-22 00:00,0.062
2017-07-23 00:00,0.05
2017-07-24 00:00,0.044
2017-07-25 00:00,0.043
2017-07-26 00:00,0.086
2017-07-27 00:00,0.052
2017-07-28 00:00,0.047
2017-07-29 00:00,0.048
2017-07-30 00:00,0.065
2017-07-31 00:00,0.062
2017-08-01 00:00,0.061
2017-08-02 00:00,0.067
2017-08-03 00:00,0.096
2017-08-04 00:00,0.16
2017-08-05 00:00,0.118
2017-08-06 00:00,0.091
2017-08-07 00:00,0.086
2017-08-08 00:00,0.07
2017-08-09 00:00,0.061
2017-08-10 00:00,0.058
2017-08-11 00:00,0.061
2017-08-12 00:00,0.062
2017-08-13 00:00,0.056
2017-08-14 00:00,0.137
2017-08-15 00:00,0.234
2017-08-16 00:00,0.141
2017-08-17 00:00,0.158
2017-08-18 00:00,0.106
2017-08-19 00:00,0.084
2017-08-20 00:00,0.073
2017-08-21 00:00,0.068
2017-08-22 00:00,0.068
2017-08-23 00:00,0.156
2017-08-24 00:00,0.09
2017-08-25 00:00,0.279
2017-08-26 00:00,0.218
2017-08-27 00:00,0.113
2017-08-28 00:00,0.091
2017-08-29 00:00,0.079
2017-08-30 00:00,0.072
2017-08-31 00:00,0.067
2017-09-01 00:00,0.064
2017-09-02 00:00,0.061
2017-09-03 00:00,0.059
2017-09-04 00:00,0.084
2017-09-05 00:00,0.074
2017-09-06 00:00,0.064
