Date,PHY_cyno
2016-07-23 00:00:00,6.56188E-09
2016-07-24 00:00:00,6.65041E-09
2016-07-25 00:00:00,6.73894E-09
2016-07-26 00:00:00,6.82748E-09
2016-07-27 00:00:00,6.91601E-09
2016-07-28 00:00:00,7.00454E-09
2016-07-29 00:00:00,7.09308E-09
2016-07-30 00:00:00,7.18161E-09
2016-07-31 00:00:00,7.27014E-09
2016-08-01 00:00:00,7.35867E-09
2016-08-02 00:00:00,7.44721E-09
2016-08-03 00:00:00,7.53574E-09
2016-08-04 00:00:00,7.62427E-09
2016-08-05 00:00:00,7.71281E-09
2016-08-06 00:00:00,7.80134E-09
2016-08-07 00:00:00,7.88987E-09
2016-08-08 00:00:00,7.9784E-09
2016-08-09 00:00:00,8.06694E-09
2016-08-10 00:00:00,8.15547E-09
2016-08-11 00:00:00,8.244E-09
2016-08-12 00:00:00,8.33254E-09
2016-08-13 00:00:00,8.42107E-09
2016-08-14 00:00:00,8.5096E-09
2016-08-15 00:00:00,8.59813E-09
2016-08-16 00:00:00,8.68667E-09
2016-08-17 00:00:00,8.7752E-09
2016-08-18 00:00:00,8.86373E-09
2016-08-19 00:00:00,8.95226E-09
2016-08-20 00:00:00,9.0408E-09
2016-08-21 00:00:00,9.12933E-09
2016-08-22 00:00:00,9.21786E-09
2016-08-23 00:00:00,9.3064E-09
2016-08-24 00:00:00,9.39493E-09
2016-08-25 00:00:00,9.48346E-09
2016-08-26 00:00:00,9.57199E-09
2016-08-27 00:00:00,9.66053E-09
2016-08-28 00:00:00,9.74906E-09
2016-08-29 00:00:00,9.83759E-09
2016-08-30 00:00:00,9.92613E-09
2016-08-31 00:00:00,1.00147E-08
2016-09-01 00:00:00,9.92479E-09
2016-09-02 00:00:00,9.83493E-09
2016-09-03 00:00:00,9.74506E-09
2016-09-04 00:00:00,9.6552E-09
2016-09-05 00:00:00,9.56533E-09
2016-09-06 00:00:00,9.47546E-09
2016-09-07 00:00:00,9.3856E-09
2016-09-08 00:00:00,9.29573E-09
2016-09-09 00:00:00,9.20587E-09
2016-09-10 00:00:00,9.116E-09
2016-09-11 00:00:00,9.02614E-09
2016-09-12 00:00:00,8.93627E-09
2016-09-13 00:00:00,8.84641E-09
2016-09-14 00:00:00,8.75654E-09
2016-09-15 00:00:00,8.66667E-09
2016-09-16 00:00:00,8.57681E-09
2016-09-17 00:00:00,8.48694E-09
2016-09-18 00:00:00,8.39708E-09
2016-09-19 00:00:00,8.30721E-09
2016-09-20 00:00:00,8.21735E-09
2016-09-21 00:00:00,8.12748E-09
2016-09-22 00:00:00,8.03761E-09
2016-09-23 00:00:00,7.94775E-09
2016-09-24 00:00:00,7.85788E-09
2016-09-25 00:00:00,7.76802E-09
2016-09-26 00:00:00,7.67815E-09
2016-09-27 00:00:00,7.58829E-09
